location_name,location_latitude,location_longitude,sensor_device_id,sensor_name,sensor_public_name,link_name,direction,sensor_latitude,sensor_longitude,distance_miles,vehicle_speed,sample_period,timestamp
Herndon Pkwy & Van Buren St,38.97,-77.38,OpenTMS-Detector580523190,NRO-TSS-VA28-N-00406,,VA-28N,n,38.98235,-77.42905,2.769,61.0,60,2026-08-08T13:41:00Z
Herndon Pkwy & Spring St,38.97,-77.39,OpenTMS-Detector580523190,NRO-TSS-VA28-N-00406,,VA-28N,n,38.98235,-77.42905,2.264,61.0,60,2026-08-08T13:41:00Z
Elden St & Dranesville Rd,38.97,-77.41,OpenTMS-Detector580523190,NRO-TSS-VA28-N-00406,,VA-28N,n,38.98235,-77.42905,1.332,61.0,60,2026-08-08T13:41:00Z
Centreville Rd & Sunrise Valley Dr,38.95,-77.39,OpenTMS-Detector580523167,NRO-TSS-VA28-N-00385,,VA-28N,n,38.94948,-77.42825,2.056,67.0,60,2026-08-08T13:41:00Z
Fairfax County Pkwy & Lawyers Rd,38.95,-77.3,OpenTMS-Detector10946607774,NRO-TSS-I495-N-00437 (495Next),,I-495N,n,38.951833,-77.19599,5.59,63.0,60,2026-08-08T13:40:00Z
Fairfax County Pkwy & Fox Mill Rd,38.92,-77.39,OpenTMS-Detector580523151,NRO-TSS-VA28-N-00359,,VA-28N,n,38.913348,-77.43013,2.206,57.0,60,2026-08-08T13:41:00Z
Fairfax County Pkwy & Braddock Rd,38.82,-77.33,OpenTMS-Detector580523136,NRO-TSS-VA28-N-00342,,VA-28N,n,38.891569,-77.44292,7.834,58.0,60,2026-08-08T13:41:00Z
Fairfax County Pkwy & Lee Hwy,38.88,-77.3,OpenTMS-Detector580523151,NRO-TSS-VA28-N-00359,,VA-28N,n,38.913348,-77.43013,7.367,57.0,60,2026-08-08T13:41:00Z
Chain Bridge Rd & Old Dominion Dr,38.9,-77.25,OpenTMS-Detector10946607774,NRO-TSS-I495-N-00437 (495Next),,I-495N,n,38.951833,-77.19599,4.61,63.0,60,2026-08-08T13:40:00Z
Maple Ave & Nutley St,38.88,-77.27,OpenTMS-Detector1605641743,NRO-TSS-I66-E-00694,,I-66E,e,38.884353,-77.152565,6.323,0.0,60,2026-08-08T13:39:45.989Z
Old Ox Rd & Rock Hill Rd,38.97,-77.53,OpenTMS-Detector580523240,NRO-TSS-VA28-S-00384,,VA-28S,s,38.949909,-77.431193,5.487,40.0,60,2026-08-08T13:41:00Z
Rock Hill Rd & Arcola Blvd,38.98,-77.54,OpenTMS-Detector580523213,NRO-TSS-VA28-N-00422,,VA-28N,n,39.003507,-77.436844,5.773,51.0,60,2026-08-08T13:40:00Z
Arcola Blvd & Ryan Rd,39.0,-77.55,OpenTMS-Detector580523213,NRO-TSS-VA28-N-00422,,VA-28N,n,39.003507,-77.436844,6.081,51.0,60,2026-08-08T13:40:00Z
Northstar Blvd & Braddock Rd,38.89,-77.6,OpenTMS-Detector580521567,NRO-TSS-I66-E-00402,,I-66E,e,38.819443,-77.64389,5.417,66.0,60,2026-08-08T13:41:45.971Z
Gum Spring Rd & Braddock Rd,38.88,-77.57,OpenTMS-Detector580521833,NRO-TSS-I66-W-00421,,I-66W,w,38.805557,-77.61583,5.704,65.0,60,2026-08-08T13:41:23.855Z
Stone Springs Blvd & Tall Cedars Pkwy,38.92,-77.57,OpenTMS-Detector580523136,NRO-TSS-VA28-N-00342,,VA-28N,n,38.891569,-77.44292,7.11,58.0,60,2026-08-08T13:41:00Z
Route 50 & Poland Rd,38.9,-77.6,OpenTMS-Detector580521567,NRO-TSS-I66-E-00402,,I-66E,e,38.819443,-77.64389,6.046,66.0,60,2026-08-08T13:41:45.971Z
Route 50 & Loudoun County Pkwy (South),38.91,-77.53,OpenTMS-Detector580523136,NRO-TSS-VA28-N-00342,,VA-28N,n,38.891569,-77.44292,4.852,58.0,60,2026-08-08T13:41:00Z
Route 50 & Pleasant Valley Rd,38.9,-77.54,OpenTMS-Detector580523136,NRO-TSS-VA28-N-00342,,VA-28N,n,38.891569,-77.44292,5.253,58.0,60,2026-08-08T13:41:00Z
Pleasant Valley Rd & Braddock Rd,38.89,-77.55,OpenTMS-Detector580523136,NRO-TSS-VA28-N-00342,,VA-28N,n,38.891569,-77.44292,5.76,58.0,60,2026-08-08T13:41:00Z
Rosslyn Blvd & Wilson Blvd,38.8952,-77.0718,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,1.151,51.0,60,2026-08-08T13:41:00Z
Clarendon Blvd & Wilson Blvd,38.8872,-77.0958,OpenTMS-Detector580523409,NRO-TSS-I66-W-00729-2,,I-66W,w,38.8949,-77.100332,0.585,0.0,60,2026-08-08T13:40:45.751Z
Glebe Rd & Washington Blvd,38.8767,-77.0875,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,1.434,51.0,60,2026-08-08T13:41:00Z
Arlington Blvd & Glebe Rd,38.8735,-77.1068,OpenTMS-Detector1605724397,NRO-TSS-I66-E-00717,,I-66E,e,38.887914,-77.114964,1.088,0.0,60,2026-08-08T13:40:57.887Z
Route 50 & Courthouse Rd,38.8838,-77.0838,OpenTMS-Detector580523409,NRO-TSS-I66-W-00729-2,,I-66W,w,38.8949,-77.100332,1.174,0.0,60,2026-08-08T13:40:45.751Z
Route 50 & George Mason Dr,38.8718,-77.1248,OpenTMS-Detector1605724397,NRO-TSS-I66-E-00717,,I-66E,e,38.887914,-77.114964,1.233,0.0,60,2026-08-08T13:40:57.887Z
I-66 & Washington Blvd Exit Area,38.8845,-77.1018,OpenTMS-Detector580523409,NRO-TSS-I66-W-00729-2,,I-66W,w,38.8949,-77.100332,0.723,0.0,60,2026-08-08T13:40:45.751Z
I-66 & Glebe Rd Interchange,38.8825,-77.1205,OpenTMS-Detector1605724397,NRO-TSS-I66-E-00717,,I-66E,e,38.887914,-77.114964,0.478,0.0,60,2026-08-08T13:40:57.887Z
Spout Run Pkwy & Lee Hwy,38.9008,-77.1015,OpenTMS-Detector580523398,NRO-TSS-I66-W-00729,,I-66W,w,38.89534,-77.099945,0.386,65.0,60,2026-08-08T13:41:00Z
Lee Hwy & N Lynn St,38.8958,-77.0735,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,1.233,51.0,60,2026-08-08T13:41:00Z
Pentagon City Blvd & Army Navy Dr,38.8625,-77.0595,OpenTMS-Detector580521178,NRO-TSS-I395-S-00092,,I-395S,s,38.867747,-77.051111,0.579,42.0,60,2026-08-08T13:40:00Z
Army Navy Dr & Glebe Rd,38.8648,-77.0855,OpenTMS-Detector1650284481,NRO-TSS-I395-N-00068,,I-395N,n,38.848299,-77.0777,1.215,76.0,60,2026-08-08T13:41:33.695Z
Columbia Pike & Glebe Rd,38.8578,-77.0895,OpenTMS-Detector1650284481,NRO-TSS-I395-N-00068,,I-395N,n,38.848299,-77.0777,0.913,76.0,60,2026-08-08T13:41:33.695Z
Columbia Pike & Four Mile Run Dr,38.8545,-77.084,OpenTMS-Detector1650284481,NRO-TSS-I395-N-00068,,I-395N,n,38.848299,-77.0777,0.546,76.0,60,2026-08-08T13:41:33.695Z
Shirlington Rd & Quaker Ln,38.8408,-77.0875,OpenTMS-Detector580521107,NRO-TSS-I395-N-00060,,I-395N,n,38.840294,-77.08474,0.153,68.0,60,2026-08-08T13:41:45.814Z
Duke St & Van Dorn St Alexandria,38.8045,-77.1205,OpenTMS-Detector580521556,NRO-TSS-I95-S-01740,,I-95S,s,38.80162,-77.113315,0.435,68.0,60,2026-08-08T13:41:00Z
Duke St & Telegraph Rd Alexandria,38.804,-77.1355,OpenTMS-Detector580521397,NRO-TSS-I95-N-01733,,I-95N,n,38.796151,-77.136007,0.543,64.0,60,2026-08-08T13:41:00Z
King St & Callahan Dr Alexandria,38.8068,-77.1055,OpenTMS-Detector580522290,NRO-TSS-I95-N-01742,,I-95S,s,38.803198,-77.106094,0.251,0.0,60,2026-08-08T13:41:45.891Z
King St & Quaker Ln Alexandria,38.8065,-77.0855,OpenTMS-Detector580522877,NRO-TSS-I95-S-01758,,I-95S,s,38.802144,-77.088626,0.345,69.0,60,2026-08-08T13:41:00Z
Van Dorn St & Eisenhower Ave,38.8015,-77.1285,OpenTMS-Detector580521397,NRO-TSS-I95-N-01733,,I-95N,n,38.796151,-77.136007,0.548,64.0,60,2026-08-08T13:41:00Z
Eisenhower Ave & Telegraph Rd,38.8005,-77.1325,OpenTMS-Detector580521397,NRO-TSS-I95-N-01733,,I-95N,n,38.796151,-77.136007,0.355,64.0,60,2026-08-08T13:41:00Z
Telegraph Rd & Huntington Ave,38.7935,-77.0765,OpenTMS-Detector580522392,NRO-TSS-I95-N-01760-2,,I-95N,n,38.799322,-77.078121,0.412,0.0,60,2026-08-08T13:41:45.798Z
Route 1 & Huntington Ave,38.793,-77.075,OpenTMS-Detector580522392,NRO-TSS-I95-N-01760-2,,I-95N,n,38.799322,-77.078121,0.468,0.0,60,2026-08-08T13:41:45.798Z
I-395 & Duke St Interchange,38.7985,-77.1275,OpenTMS-Detector580521397,NRO-TSS-I95-N-01733,,I-95N,n,38.796151,-77.136007,0.486,64.0,60,2026-08-08T13:41:00Z
I-395 & Seminary Rd Interchange,38.8195,-77.1055,OpenTMS-Detector580521088,NRO-TSS-I395-N-00041,,I-395N,n,38.829167,-77.114444,0.823,69.0,60,2026-08-08T13:40:45.822Z
Washington St & King St Alexandria,38.8045,-77.0475,OpenTMS-Detector580523062,NRO-TSS-I95-S-01775-4,,I-95S,s,38.794361,-77.051222,0.729,68.0,60,2026-08-08T13:40:45.993Z
14th St NW & Constitution Ave DC,38.892,-77.0318,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,1.563,40.0,60,2026-08-08T13:40:00Z
14th St NW & K St DC,38.9025,-77.0325,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,2.163,51.0,60,2026-08-08T13:41:00Z
16th St NW & K St DC,38.902,-77.0365,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,1.989,51.0,60,2026-08-08T13:41:00Z
New York Ave & Florida Ave DC,38.9075,-77.019,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,2.829,40.0,60,2026-08-08T13:40:00Z
North Capitol St & New York Ave DC,38.907,-77.0095,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,3.076,40.0,60,2026-08-08T13:40:00Z
Massachusetts Ave & Dupont Circle DC,38.909,-77.043,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,2.192,51.0,60,2026-08-08T13:41:00Z
Pennsylvania Ave & Constitution Ave DC,38.8895,-77.0465,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,1.004,51.0,60,2026-08-08T13:41:00Z
Independence Ave & 7th St SW DC,38.887,-77.0215,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,1.615,40.0,60,2026-08-08T13:40:00Z
Georgia Ave & Military Rd DC,38.9635,-77.0275,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,6.005,51.0,60,2026-08-08T13:41:00Z
Wisconsin Ave & Western Ave DC,38.9645,-77.0775,OpenTMS-Detector580523357,NRO-TSS-I66-E-00729,,I-66E,e,38.89534,-77.099934,4.928,52.0,60,2026-08-08T13:41:00Z
Connecticut Ave & Nebraska Ave DC,38.9415,-77.0755,OpenTMS-Detector580523357,NRO-TSS-I66-E-00729,,I-66E,e,38.89534,-77.099934,3.449,52.0,60,2026-08-08T13:41:00Z
Connecticut Ave NW & Dupont Circle,38.9095,-77.0435,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,2.211,51.0,60,2026-08-08T13:41:00Z
Connecticut Ave NW & Calvert St,38.924,-77.051,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,3.045,51.0,60,2026-08-08T13:41:00Z
Connecticut Ave NW & Nebraska Ave,38.941,-77.075,OpenTMS-Detector580523357,NRO-TSS-I66-E-00729,,I-66E,e,38.89534,-77.099934,3.428,52.0,60,2026-08-08T13:41:00Z
Wisconsin Ave NW & M St NW,38.905,-77.0635,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,1.685,51.0,60,2026-08-08T13:41:00Z
Wisconsin Ave NW & Massachusetts Ave,38.906,-77.063,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,1.752,51.0,60,2026-08-08T13:41:00Z
Wisconsin Ave NW & Western Ave,38.964,-77.077,OpenTMS-Detector580523357,NRO-TSS-I66-E-00729,,I-66E,e,38.89534,-77.099934,4.902,52.0,60,2026-08-08T13:41:00Z
Georgia Ave NW & Missouri Ave,38.9565,-77.0275,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,5.546,51.0,60,2026-08-08T13:41:00Z
Georgia Ave NW & New Hampshire Ave,38.9525,-77.0245,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,5.343,51.0,60,2026-08-08T13:41:00Z
Georgia Ave NW & Florida Ave,38.921,-77.0235,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,3.45,51.0,60,2026-08-08T13:41:00Z
16th St NW & Columbia Rd,38.927,-77.036,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,3.479,51.0,60,2026-08-08T13:41:00Z
16th St NW & U St,38.9165,-77.0365,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,2.813,51.0,60,2026-08-08T13:41:00Z
16th St NW & Military Rd,38.963,-77.037,OpenTMS-Detector580523357,NRO-TSS-I66-E-00729,,I-66E,e,38.89534,-77.099934,5.77,52.0,60,2026-08-08T13:41:00Z
New Hampshire Ave & Eastern Ave,38.9475,-77.0015,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,5.627,51.0,60,2026-08-08T13:41:00Z
Rhode Island Ave NE & Eastern Ave,38.935,-76.9985,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,5.024,40.0,60,2026-08-08T13:40:00Z
Rhode Island Ave NE & North Capitol St,38.9305,-77.0095,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,4.429,51.0,60,2026-08-08T13:41:00Z
North Capitol St & H St NE,38.9005,-77.009,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,2.749,40.0,60,2026-08-08T13:40:00Z
North Capitol St & Florida Ave NE,38.92,-77.0085,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,3.858,40.0,60,2026-08-08T13:40:00Z
H St NE & Benning Rd,38.9,-76.983,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,3.824,40.0,60,2026-08-08T13:40:00Z
Benning Rd & East Capitol St,38.8905,-76.9705,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,4.162,40.0,60,2026-08-08T13:40:00Z
East Capitol St & Minnesota Ave,38.889,-76.946,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,5.404,40.0,60,2026-08-08T13:40:00Z
Pennsylvania Ave SE & Minnesota Ave,38.8735,-76.966,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,4.193,40.0,60,2026-08-08T13:40:00Z
Alabama Ave SE & Pennsylvania Ave,38.8655,-76.9885,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,3.008,40.0,60,2026-08-08T13:40:00Z
South Capitol St & M St SE,38.876,-77.01,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,1.851,40.0,60,2026-08-08T13:40:00Z
South Capitol St & I-295,38.8705,-76.995,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,2.631,40.0,60,2026-08-08T13:40:00Z
11th St Bridge Approach DC,38.8725,-76.9945,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,2.658,40.0,60,2026-08-08T13:40:00Z
14th St Bridge Approach DC,38.8765,-77.0405,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,0.395,40.0,60,2026-08-08T13:40:00Z
Key Bridge Approach DC,38.901,-77.061,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,1.405,51.0,60,2026-08-08T13:41:00Z
Chain Bridge Approach DC,38.9275,-77.121,OpenTMS-Detector580523398,NRO-TSS-I66-W-00729,,I-66W,w,38.89534,-77.099945,2.494,65.0,60,2026-08-08T13:41:00Z
MacArthur Blvd & Canal Rd NW,38.9145,-77.0775,OpenTMS-Detector580523357,NRO-TSS-I66-E-00729,,I-66E,e,38.89534,-77.099934,1.791,52.0,60,2026-08-08T13:41:00Z
M Street NW & 23rd St,38.9055,-77.0495,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,1.83,51.0,60,2026-08-08T13:41:00Z
M Street NW & Wisconsin Ave,38.905,-77.063,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,1.683,51.0,60,2026-08-08T13:41:00Z
K Street NW & 17th St,38.902,-77.0395,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,1.884,51.0,60,2026-08-08T13:41:00Z
K Street NW & Connecticut Ave,38.9025,-77.0385,OpenTMS-Detector580523099,NRO-TSS-VA110-E-00010,,VA-110E,e,38.88067,-77.06133,1.945,51.0,60,2026-08-08T13:41:00Z
Massachusetts Ave NW & New Jersey Ave,38.9045,-77.015,OpenTMS-Detector580521132,NRO-TSS-I395-N-00096,,I-395N,n,38.87144,-77.043899,2.763,40.0,60,2026-08-08T13:40:00Z
